title,url,seoName,companyid
PNB Housing Finance Ltd.,/pnb-housing-finance-ltd/stocks/companyid-4749.cms,pnb-housing-finance-ltd,4749
Alkem Laboratories Ltd.,/alkem-laboratories-ltd/stocks/companyid-15059.cms,alkem-laboratories-ltd,15059
Prestige Estates Projects Ltd.,/prestige-estates-projects-ltd/stocks/companyid-32683.cms,prestige-estates-projects-ltd,32683
Bharat Forge Ltd.,/bharat-forge-ltd/stocks/companyid-13958.cms,bharat-forge-ltd,13958
Reliance Power Ltd.,/reliance-power-ltd/stocks/companyid-4422.cms,reliance-power-ltd,4422
Marico Ltd.,/marico-ltd/stocks/companyid-5886.cms,marico-ltd,5886
DCM Shriram Ltd.,/dcm-shriram-ltd/stocks/companyid-12125.cms,dcm-shriram-ltd,12125
Torrent Pharmaceuticals Ltd.,/torrent-pharmaceuticals-ltd/stocks/companyid-8492.cms,torrent-pharmaceuticals-ltd,8492
Mahindra CIE Automotive Ltd.,/mahindra-cie-automotive-ltd/stocks/companyid-17103.cms,mahindra-cie-automotive-ltd,17103
Gujarat State Fertilizer & Chemicals Ltd.,/gujarat-state-fertilizer-chemicals-ltd/stocks/companyid-13678.cms,gujarat-state-fertilizer-chemicals-ltd,13678
Voltas Ltd.,/voltas-ltd/stocks/companyid-12815.cms,voltas-ltd,12815
Karnataka Bank Ltd.,/karnataka-bank-ltd/stocks/companyid-12259.cms,karnataka-bank-ltd,12259
MindTree Ltd.,/mindtree-ltd/stocks/companyid-15673.cms,mindtree-ltd,15673
APL Apollo Tubes Ltd.,/apl-apollo-tubes-ltd/stocks/companyid-6683.cms,apl-apollo-tubes-ltd,6683
Shree Renuka Sugars Ltd.,/shree-renuka-sugars-ltd/stocks/companyid-18608.cms,shree-renuka-sugars-ltd,18608
BASF India Ltd.,/basf-india-ltd/stocks/companyid-13981.cms,basf-india-ltd,13981
Housing and Urban Development Corporation Ltd.,/housing-and-urban-development-corporation-ltd/stocks/companyid-4516.cms,housing-and-urban-development-corporation-ltd,4516
Apar Industries Ltd.,/apar-industries-ltd/stocks/companyid-12150.cms,apar-industries-ltd,12150
Allcargo Logistics Ltd.,/allcargo-logistics-ltd/stocks/companyid-17998.cms,allcargo-logistics-ltd,17998
